📈 PSX ATH Zone — 07 Sep 2026 (session 07 Sep)
Rule: 0–40% below all-time high (split/bonus-adjusted) · all PSX equities

In zone: 241 (241 new)
🆕 LEUL 87.71 · ▼0.0% · ATH 87.71 (7 Sep 26)
🆕 PPVC 41.84 · ▼0.1% · ATH 41.87 (18 Jun 26)
🆕 TPLT 33.98 · ▼0.6% · ATH 34.20 (7 Sep 26)
🆕 PKGI 46.98 · ▼1.4% · ATH 47.65 (7 Sep 26)
🆕 MSOT 181.05 · ▼2.4% · ATH 185.49 (3 Sep 26)
🆕 BUXL 1,088.05 · ▼3.0% · ATH 1,121.40 (3 Sep 26)
🆕 DCR 40.70 · ▼3.0% · ATH 41.98 (28 Aug 26)
🆕 ILP 106.88 · ▼3.3% · ATH 110.50 (30 Jun 26)
🆕 IPAK 42.55 · ▼3.9% · ATH 44.29 (7 Sep 26)
🆕 AHL 135.45 · ▼4.5% · ATH 141.77 (8 Oct 25)
🆕 POL 729.38 · ▼4.7% · ATH 765.00 (27 Aug 26)
🆕 DYNO 347.93 · ▼5.2% · ATH 366.90 (9 Jun 26)
🆕 NICL 259.47 · ▼5.2% · ATH 273.80 (2 Sep 26)
🆕 PAKOXY 336.11 · ▼5.8% · ATH 356.68 (2 Feb 26)
🆕 CLVL 51.13 · ▼6.0% · ATH 54.37 (7 Sep 26)
🆕 ANTM 80.61 · ▼6.0% · ATH 85.78 (4 Sep 26)
🆕 GAL 632.40 · ▼6.0% · ATH 672.97 (17 Aug 26)
🆕 MEBL 564.80 · ▼6.6% · ATH 605.00 (11 Aug 26)
🆕 JKSM 367.57 · ▼6.9% · ATH 394.94 (17 Aug 26)
🆕 FCL 27.59 · ▼7.3% · ATH 29.75 (19 Aug 26)
🆕 GHNI 1,271.76 · ▼7.3% · ATH 1,371.99 (17 Aug 26)
🆕 GRR 22.53 · ▼7.7% · ATH 24.40 (20 Aug 26)
🆕 TPL 24.46 · ▼7.7% · ATH 26.50 (17 Sep 21)
🆕 DIIL 84.77 · ▼7.7% · ATH 91.87 (13 Jan 26)
🆕 SLM 24.00 · ▼8.6% · ATH 26.25 (17 Jun 26)
🆕 POWER 22.33 · ▼8.7% · ATH 24.45 (27 Aug 26)
🆕 OGDC 320.66 · ▼8.9% · ATH 352.00 (6 Jul 26)
🆕 STJT 167.26 · ▼9.3% · ATH 184.49 (1 Sep 26)
🆕 DADX 111.64 · ▼9.5% · ATH 123.37 (27 Aug 26)
🆕 JSRR 10.84 · ▼9.7% · ATH 12.00 (18 May 26)
🆕 TISL 4.29 · ▼10.2% · ATH 4.78 (4 Sep 26)
🆕 GEMMEL 35.00 · ▼10.3% · ATH 39.00 (26 Dec 25)
